Symbol	POL_number_unique_variants	POL_SNP_cum_AF	POL_SNP_cum_AC	POL_SNP_cum_AN	gnomAD_NFE_number_unique_variants	gnomAD_NFE_SNP_cum_AF	gnomAD_NFE_SNP_cum_AN	gnomAD_NFE_SNP_cum_AC	cum_AF_fold_change	fisher_p	fisher_p_corr	fisher_q
ACP4	0	0	0	2152	3	0.0000464646	64598	3	-Inf	1	1877	1
ACP5	0	0	0	2152	3	0.0001239071	64598	8	-Inf	1	1877	1
ACTL6B	0	0	0	2152	4	0.0000619699	64598	4	-Inf	1	1877	1
ACY1	0	0	0	2152	3	0.0003562894	64598	23	-Inf	1	1877	1
ADA2	3	0.001858736	4	2152	15	0.0012854148	64598	83	0.532087887464278	0.366045189205721	687.066820139139	1
ADAM9	0	0	0	2152	2	0.000046177	64598	3	-Inf	1	1877	1
ADAMTS10	0	0	0	2152	2	0.0000619574	64598	4	-Inf	1	1877	1
ADAMTS13	1	0.00139405	3	2152	5	0.0002168362	64598	14	2.68460477237048	0.0162223249692646	30.4493039673097	0.422906999545968
ADAMTS17	0	0	0	2152	1	0.0000309751	64598	2	-Inf	1	1877	1
ADAMTS18	0	0	0	2152	3	0.0003407418	64598	22	-Inf	1	1877	1
ADAMTS2	0	0	0	2152	3	0.0000620419	64598	4	-Inf	1	1877	1
ADAMTS3	0	0	0	2152	1	0.0000154861	64598	1	-Inf	1	1877	1
ADAMTSL2	0	0	0	2152	2	0.0000623217	64598	4	-Inf	1	1877	1
ADAMTSL4	1	0.000468165	1	2152	7	0.0026044514	64598	168	-2.47589052837115	0.0476143449648725	89.3721254990656	0.783966013149698
ADAR	0	0	0	2152	2	0.0000464867	64598	3	-Inf	1	1877	1
ADCY6	0	0	0	2152	1	0.000015489	64598	1	-Inf	1	1877	1
ADD3	0	0	0	2152	1	0.000015489	64598	1	-Inf	1	1877	1
ADGRG1	0	0	0	2152	3	0.0001084036	64598	7	-Inf	1	1877	1
ADSL	3	0.001859601	4	2152	12	0.0009136638	64598	59	1.02525780585812	0.145495710497593	273.095448603983	1
ADSS1	0	0	0	2152	5	0.0001084444	64598	7	-Inf	1	1877	1
AEBP1	0	0	0	2152	3	0.0000774449	64598	5	-Inf	1	1877	1
AFG3L2	0	0	0	2152	2	0.0000309727	64598	2	-Inf	1	1877	1
AFP	0	0	0	2152	1	0.0000309818	64598	2	-Inf	1	1877	1
AGA	1	0.000464684	1	2152	11	0.0002944276	64598	19	0.658337053111146	0.480823708850821	902.506101512991	1
AGBL5	0	0	0	2152	1	0.0000154875	64598	1	-Inf	1	1877	1
AGK	0	0	0	2152	5	0.0001394153	64598	9	-Inf	1	1877	1
AGL	0	0	0	2152	26	0.0008829933	64598	57	-Inf	0.265898281129845	499.091073680719	1
AGPAT2	0	0	0	2152	4	0.0000619583	64598	4	-Inf	1	1877	1
AGPS	0	0	0	2152	1	0.0000155005	64598	1	-Inf	1	1877	1
AGRN	1	0.000464684	1	2152	2	0.00015525	64598	10	1.58165670238083	0.302677143275063	568.124997927294	1
AGTPBP1	0	0	0	2152	1	0.0000154986	64598	1	-Inf	1	1877	1
AGTR1	0	0	0	2152	3	0.0000464574	64598	3	-Inf	1	1877	1
AGXT	0	0	0	2152	28	0.0024274356	64598	157	-Inf	0.0108925788235799	20.4453704518595	0.335170007407534
AHCY	0	0	0	2152	4	0.0002632535	64598	17	-Inf	1	1877	1
AHI1	0	0	0	2152	23	0.0008370305	64598	54	-Inf	0.42270061300172	793.409050604229	1
AHSG	0	0	0	2152	2	0.0002013928	64598	13	-Inf	1	1877	1
AICDA	0	0	0	2152	6	0.0001091863	64598	7	-Inf	1	1877	1
AIMP1	0	0	0	2152	1	0.0001239	64598	8	-Inf	1	1877	1
AK1	0	0	0	2152	2	0.0000464727	64598	3	-Inf	1	1877	1
AK2	0	0	0	2152	3	0.0001084276	64598	7	-Inf	1	1877	1
AK7	1	0.000929368	2	2152	1	0.00236967	64598	153	-1.35036428760962	0.249878961570746	469.022810868291	1
AKR1C2	0	0	0	2152	1	0.000139379	64598	9	-Inf	1	1877	1
AKR1D1	2	0.000929368	2	2152	3	0.0001086914	64598	7	3.09601217644283	0.0321696983211353	60.382523748771	0.605139176029962
ALDH18A1	0	0	0	2152	3	0.0000619368	64598	4	-Inf	1	1877	1
ALDH1A3	0	0	0	2152	2	0.0000464483	64598	3	-Inf	1	1877	1
ALDH3A2	1	0.000464684	1	2152	10	0.0003562191	64598	23	0.383485096901022	0.54462685666164	1022.2646099539	1
ALDH4A1	0	0	0	2152	2	0.000387215	64598	25	-Inf	1	1877	1
ALDH5A1	0	0	0	2152	12	0.0006507905	64598	42	-Inf	0.646646655602005	1213.75577256496	1
ALDH6A1	1	0.000464684	1	2152	1	0.0000309933	64598	2	3.90622169219773	0.0936357732577362	175.754346404771	1
ALDH7A1	1	0.000929368	2	2152	14	0.0008989302	64598	58	0.0480408729103608	0.720194958966795	1351.80593798067	1
ALDOB	5	0.008828992	19	2152	16	0.0063811901	64598	412	0.468423222237869	0.168996815777776	317.207023214885	1
ALG1	1	0.000464684	1	2152	10	0.0008208514	64598	53	-0.820871101496737	1	1877	1
ALG12	1	0.000929368	2	2152	5	0.0004646467	64598	30	1.0001158092056	0.276050523663517	518.146832916422	1
ALG14	0	0	0	2152	1	0.0000774377	64598	5	-Inf	1	1877	1
ALG2	0	0	0	2152	2	0.000263302	64598	17	-Inf	1	1877	1
ALG3	0	0	0	2152	4	0.0001239109	64598	8	-Inf	1	1877	1
ALG6	0	0	0	2152	12	0.0004034494	64598	26	-Inf	1	1877	1
ALG8	0	0	0	2152	8	0.0004027875	64598	26	-Inf	1	1877	1
ALG9	0	0	0	2152	1	0.0000464727	64598	3	-Inf	1	1877	1
ALKBH8	0	0	0	2152	1	0.0000309828	64598	2	-Inf	1	1877	1
ALMS1	1	0.000464684	1	2152	30	0.0010239202	64598	66	-1.139781406244	0.726801930814563	1364.20722413894	1
ALOX12B	2	0.00511153	11	2152	30	0.0009913307	64598	64	2.36631687368346	0.0000280360802084762	0.0526237225513099	0.00350824817008733
ALOXE3	2	0.003717474	8	2152	9	0.0024316488	64598	157	0.612387774925242	0.26149099596502	490.818599426343	1
ALPK3	0	0	0	2152	5	0.0001393941	64598	9	-Inf	1	1877	1
ALPL	1	0.0027881	6	2152	28	0.0026023454	64598	168	0.0994698483537516	0.82798378286759	1554.12556044247	1
ALS2	0	0	0	2152	9	0.0001858495	64598	12	-Inf	1	1877	1
ALX3	0	0	0	2152	1	0.0000464583	64598	3	-Inf	1	1877	1
AMACR	0	0	0	2152	1	0.000805702	64598	52	-Inf	0.416925861446651	782.569841935363	1
AMBN	0	0	0	2152	1	0.000154986	64598	10	-Inf	1	1877	1
AMH	0	0	0	2152	1	0.0000309866	64598	2	-Inf	1	1877	1
AMHR2	0	0	0	2152	3	0.0000464766	64598	3	-Inf	1	1877	1
AMN	1	0.000464684	1	2152	8	0.0002789307	64598	18	0.736343240116593	0.46352292409799	870.032528531928	1
AMPD1	0	0	0	2152	1	0.0000154947	64598	1	-Inf	1	1877	1
AMPD2	0	0	0	2152	4	0.0002168279	64598	14	-Inf	1	1877	1
AMT	2	0.001394917	3	2152	12	0.0003871969	64598	25	1.84903997455505	0.0602615659704055	113.110959326451	0.908990549579751
ANAPC1	0	0	0	2152	1	0.000046454	64598	3	-Inf	1	1877	1
ANGPTL3	1	0.000464684	1	2152	3	0.0006820061	64598	44	-0.553534672235757	1	1877	1
ANKS6	0	0	0	2152	2	0.0000774555	64598	5	-Inf	1	1877	1
ANO10	1	0.000465549	1	2152	8	0.0010265123	64598	66	-1.14074598684494	0.726801930814563	1364.20722413894	1
ANO5	3	0.002323418	5	2152	24	0.0050235117	64598	325	-1.11244750792161	0.0842879290133778	158.20844275811	1
ANO6	0	0	0	2152	2	0.002028817	64598	131	-Inf	0.0237483099595549	44.5755777940845	0.535192006460609
ANTXR2	0	0	0	2152	3	0.0001551145	64598	10	-Inf	1	1877	1
AP1S1	0	0	0	2152	2	0.0000620319	64598	4	-Inf	1	1877	1
AP3B2	0	0	0	2152	3	0.0000619458	64598	4	-Inf	1	1877	1
AP4B1	1	0.0027881	6	2152	6	0.0003097648	64598	20	3.17003718839618	0.000147309818753809	0.2765005298009	0.011060021192036
AP4M1	0	0	0	2152	8	0.0002013559	64598	13	-Inf	1	1877	1
AP4S1	1	0.00151362	3	2152	6	0.0028952758	64598	187	-0.935697727151456	0.298093315943346	559.52115402566	1
AP5Z1	0	0	0	2152	6	0.0003406886	64598	22	-Inf	1	1877	1
APBB1	0	0	0	2152	2	0.0001239023	64598	8	-Inf	1	1877	1
APOB	0	0	0	2152	4	0.0001084137	64598	7	-Inf	1	1877	1
APOE	0	0	0	2152	7	0.0003873646	64598	25	-Inf	1	1877	1
APRT	0	0	0	2152	10	0.0003407125	64598	22	-Inf	1	1877	1
APTX	0	0	0	2152	5	0.0007437024	64598	48	-Inf	0.408495670180356	766.746372928528	1
ARFGEF2	0	0	0	2152	1	0.0000154851	64598	1	-Inf	1	1877	1
ARG1	0	0	0	2152	4	0.0000929219	64598	6	-Inf	1	1877	1
ARHGEF18	0	0	0	2152	3	0.0000774392	64598	5	-Inf	1	1877	1
ARL13B	0	0	0	2152	3	0.0000774857	64598	5	-Inf	1	1877	1
ARL2BP	0	0	0	2152	1	0.0000464612	64598	3	-Inf	1	1877	1
ARL3	0	0	0	2152	1	0.0000154885	64598	1	-Inf	1	1877	1
ARL6	0	0	0	2152	3	0.0000775001	64598	5	-Inf	1	1877	1
ARMC2	0	0	0	2152	1	0.0000154856	64598	1	-Inf	1	1877	1
ARMC9	1	0.000464684	1	2152	6	0.0001858452	64598	12	1.32214854399696	0.34692280498506	651.174104956957	1
ARSA	3	0.002324718	5	2152	26	0.002695356	64598	174	-0.21342011466016	1	1877	1
ARSB	3	0.001394052	3	2152	15	0.0009140548	64598	59	0.60893181029254	0.453958356445519	852.079835048239	1
ARV1	1	0.000929368	2	2152	3	0.0007129826	64598	46	0.382383102011587	0.668265667842297	1254.33465853999	1
ASAH1	0	0	0	2152	8	0.0002168253	64598	14	-Inf	1	1877	1
ASCC1	0	0	0	2152	3	0.0001394114	64598	9	-Inf	1	1877	1
ASL	3	0.001858736	4	2152	25	0.0037021253	64598	239	-0.994031848720773	0.201655151827429	378.506719980084	1
ASNS	0	0	0	2152	7	0.0001703524	64598	11	-Inf	1	1877	1
ASPA	2	0.002323418	5	2152	11	0.0006195209	64598	40	1.90702387026052	0.0145452272218532	27.3013914954185	0.384526640780542
ASPH	0	0	0	2152	2	0.0000619944	64598	4	-Inf	1	1877	1
ASPM	2	0.000929368	2	2152	27	0.0010865877	64598	70	-0.225482745196607	1	1877	1
ASS1	1	0.000464684	1	2152	23	0.0013475284	64598	87	-1.53599380305518	0.535330835878486	1004.81597894392	1
ASTN2	0	0	0	2152	2	0.0000621355	64598	4	-Inf	1	1877	1
ATAD1	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
ATAD3A	0	0	0	2152	1	0.0000154828	64598	1	-Inf	1	1877	1
ATF6	1	0.000464684	1	2152	2	0.0000929478	64598	6	2.32175734760148	0.204994629081207	384.774918785425	1
ATIC	0	0	0	2152	4	0.0002322925	64598	15	-Inf	1	1877	1
ATM	4	0.001858736	4	2152	67	0.0018123205	64598	117	0.0364837644441218	0.797997327075275	1497.84098292029	1
ATP13A2	1	0.000929368	2	2152	8	0.0004182646	64598	27	1.1518340707782	0.23989090083177	450.275220861232	1
ATP2A1	1	0.000464684	1	2152	12	0.0004497031	64598	29	0.047277141657965	0.625941309509005	1174.8918379484	1
ATP5F1A	0	0	0	2152	1	0.0000154842	64598	1	-Inf	1	1877	1
ATP5MK	0	0	0	2152	2	0.0000619603	64598	4	-Inf	1	1877	1
ATP6V0A2	0	0	0	2152	3	0.0001084435	64598	7	-Inf	1	1877	1
ATP6V0A4	0	0	0	2152	11	0.0003562468	64598	23	-Inf	1	1877	1
ATP6V1B1	1	0.000464684	1	2152	7	0.0002635078	64598	17	0.818404303632902	0.445645893014975	836.477341189109	1
ATP7B	6	0.00697026	15	2152	65	0.0047699962	64598	308	0.547224354634214	0.152587514376136	286.406764484008	1
ATP8A2	0	0	0	2152	4	0.0000774699	64598	5	-Inf	1	1877	1
ATP8B1	2	0.0009298	2	2152	6	0.0001394076	64598	9	2.73761121197168	0.0471029396398259	88.4122177039532	0.782409006229674
ATR	0	0	0	2152	5	0.0002642796	64598	17	-Inf	1	1877	1
AUH	0	0	0	2152	6	0.0001548697	64598	10	-Inf	1	1877	1
AURKC	0	0	0	2152	3	0.0008211437	64598	53	-Inf	0.419693896167895	787.765443107138	1
AVIL	0	0	0	2152	1	0.0000309636	64598	2	-Inf	1	1877	1
B3GALNT2	0	0	0	2152	3	0.0003252488	64598	21	-Inf	1	1877	1
B3GALT6	1	0.000466853	1	2152	6	0.0001731097	64598	11	1.43128178718084	0.325162328663997	610.329690902322	1
B3GAT3	0	0	0	2152	2	0.0000774368	64598	5	-Inf	1	1877	1
B3GLCT	1	0.000929368	2	2152	2	0.0014406499	64598	93	-0.632397905166188	0.77233480409838	1449.67242729266	1
B4GALNT1	0	0	0	2152	3	0.0001086375	64598	7	-Inf	1	1877	1
B4GALT7	0	0	0	2152	4	0.0003252146	64598	21	-Inf	1	1877	1
B9D1	1	0.00139405	3	2152	3	0.0002477842	64598	16	2.49212620503333	0.022040726655125	41.3704439316696	0.51713054914587
B9D2	0	0	0	2152	1	0.0000154866	64598	1	-Inf	1	1877	1
BAAT	0	0	0	2152	1	0.000015489	64598	1	-Inf	1	1877	1
BBIP1	0	0	0	2152	1	0.0000309741	64598	2	-Inf	1	1877	1
BBS10	0	0	0	2152	19	0.0017968867	64598	116	-Inf	0.0567093329863262	106.443418015334	0.879697669548218
BBS12	0	0	0	2152	10	0.0004026166	64598	26	-Inf	1	1877	1
BBS2	2	0.000929368	2	2152	18	0.0005266076	64598	34	0.819521628319951	0.324047858659002	608.237830702946	1
BBS4	0	0	0	2152	2	0.0000464626	64598	3	-Inf	1	1877	1
BBS5	0	0	0	2152	4	0.0001239406	64598	8	-Inf	1	1877	1
BBS7	0	0	0	2152	9	0.0005577699	64598	36	-Inf	0.63130661953765	1184.96252487217	1
BBS9	0	0	0	2152	11	0.0003719801	64598	24	-Inf	1	1877	1
BCAM	0	0	0	2152	1	0.0000154856	64598	1	-Inf	1	1877	1
BCHE	4	0.014405184	31	2152	16	0.0246422733	64598	1592	-0.774547265315741	0.00167287894104023	3.13999377233251	0.0730231109844769
BCKDHA	0	0	0	2152	15	0.0009913916	64598	64	-Inf	0.274160959213554	514.600120443842	1
BCKDHB	2	0.003252784	7	2152	22	0.0009450935	64598	61	1.78314605366511	0.00626433304596229	11.7581531272712	0.22185194579757
BCS1L	0	0	0	2152	11	0.0006504085	64598	42	-Inf	0.646646655602005	1213.75577256496	1
BDP1	1	0.00139405	3	2152	1	0.000480203	64598	31	1.53756598513098	0.0957433732791664	179.710311644995	1
BLM	1	0.00325279	7	2152	23	0.0010845527	64598	70	1.58457752767498	0.0121289595162387	22.76605701198	0.347073986574001
BLOC1S3	0	0	0	2152	1	0.0000154971	64598	1	-Inf	1	1877	1
BLOC1S6	0	0	0	2152	1	0.0000154933	64598	1	-Inf	1	1877	1
BMP1	0	0	0	2152	2	0.0000309808	64598	2	-Inf	1	1877	1
BMPER	0	0	0	2152	1	0.0000154909	64598	1	-Inf	1	1877	1
BMPR1B	0	0	0	2152	1	0.0000154875	64598	1	-Inf	1	1877	1
BOLA3	0	0	0	2152	3	0.0001083941	64598	7	-Inf	1	1877	1
BPGM	0	0	0	2152	2	0.000030977	64598	2	-Inf	1	1877	1
BRAT1	0	0	0	2152	6	0.0008519707	64598	55	-Inf	0.425933854604776	799.477845093164	1
BRCA1	3	0.002323418	5	2152	40	0.0009447402	64598	61	1.29825917567483	0.0617001633846024	115.811206672899	0.908990549579751
BRCA2	3	0.001394052	3	2152	63	0.0015648673	64598	101	-0.166755945833654	1	1877	1
BRDT	1	0.000464684	1	2152	1	0.0000154899	64598	1	4.90685023533532	0.0634404698960828	119.077761994947	0.908990549579751
BRF1	0	0	0	2152	2	0.000061943	64598	4	-Inf	1	1877	1
BSCL2	0	0	0	2152	3	0.0000464713	64598	3	-Inf	1	1877	1
BSND	0	0	0	2152	4	0.0003407017	64598	22	-Inf	1	1877	1
BTD	3	0.002323418	5	2152	25	0.0024783779	64598	160	-0.0931474556545625	1	1877	1
BUB1B	1	0.000464684	1	2152	4	0.0001239137	64598	8	1.90691426898643	0.255435346417997	479.45214522658	1
BVES	0	0	0	2152	1	0.0000154899	64598	1	-Inf	1	1877	1
C11orf80	1	0.000464684	1	2152	0	0	64598	0	Inf	0.0322397003745318	60.5139176029962	0.605139176029962
C12orf4	0	0	0	2152	3	0.0000929555	64598	6	-Inf	1	1877	1
C12orf57	0	0	0	2152	1	0.0000154861	64598	1	-Inf	1	1877	1
C19orf12	2	0.004203458	9	2152	4	0.000247866	64598	16	4.08394436374618	0.0000000473622239337638	0.0000888988943236747	0.0000126998420462392
C1QB	0	0	0	2152	1	0.0000154952	64598	1	-Inf	1	1877	1
C1QBP	0	0	0	2152	2	0.000077441	64598	5	-Inf	1	1877	1
C1QC	0	0	0	2152	3	0.0002013728	64598	13	-Inf	1	1877	1
C2	1	0.0251163	54	2152	1	0.00755816	64598	488	1.7325169850114	0.000000000000403650460575643	0.000000000757651914500482	0.000000000252550638166827
C2CD3	0	0	0	2152	1	0.000340716	64598	22	-Inf	1	1877	1
C3	0	0	0	2152	1	0.0000309991	64598	2	-Inf	1	1877	1
C5	0	0	0	2152	1	0.0000309866	64598	2	-Inf	1	1877	1
C8A	0	0	0	2152	1	0.0000619444	64598	4	-Inf	1	1877	1
C8B	2	0.007900056	17	2152	3	0.0024491506	64598	158	1.68958139098612	0.0000574644774776834	0.107860824225612	0.00557463624544251
CA12	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
CA5A	0	0	0	2152	3	0.0000774306	64598	5	-Inf	1	1877	1
CABP2	1	0.00139405	3	2152	2	0.0010532555	64598	68	0.404426857336278	0.499823734061907	938.1691488342	1
CABP4	0	0	0	2152	4	0.0002169022	64598	14	-Inf	1	1877	1
CACNA1D	0	0	0	2152	1	0.0000309876	64598	2	-Inf	1	1877	1
CACNA2D4	0	0	0	2152	1	0.0000464641	64598	3	-Inf	1	1877	1
CAD	1	0.000464684	1	2152	3	0.0002943178	64598	19	0.658875173382918	0.480823708850821	902.506101512991	1
CANT1	1	0.000464684	1	2152	9	0.0004063244	64598	26	0.193617969038694	0.587280909809576	1102.32626771257	1
CAPN1	0	0	0	2152	2	0.0000619833	64598	4	-Inf	1	1877	1
CAPN3	3	0.002323418	5	2152	46	0.0027414944	64598	177	-0.238713797717078	1	1877	1
CARD11	0	0	0	2152	1	0.0000154895	64598	1	-Inf	1	1877	1
CARD14	0	0	0	2152	1	0.000805103	64598	52	-Inf	0.416925861446651	782.569841935363	1
CARD9	0	0	0	2152	3	0.0000464741	64598	3	-Inf	1	1877	1
CARMIL2	0	0	0	2152	1	0.0000310916	64598	2	-Inf	1	1877	1
CARS1	0	0	0	2152	2	0.0000929445	64598	6	-Inf	1	1877	1
CARS2	0	0	0	2152	2	0.000030976	64598	2	-Inf	1	1877	1
CASP8	0	0	0	2152	3	0.0000929215	64598	6	-Inf	1	1877	1
CASQ2	0	0	0	2152	4	0.0001238875	64598	8	-Inf	1	1877	1
CAVIN1	0	0	0	2152	1	0.0000309684	64598	2	-Inf	1	1877	1
CBLIF	0	0	0	2152	2	0.000325211	64598	21	-Inf	1	1877	1
CBS	1	0.00706357	15	2152	5	0.0002146807	64598	14	5.04013311806489	0.00000000000000204055552400105	0.00000000000383012271854997	0.00000000000224046795460038
CC2D1A	0	0	0	2152	1	0.0000154885	64598	1	-Inf	1	1877	1
CC2D2A	2	0.000929368	2	2152	30	0.0013008702	64598	84	-0.485155142105397	1	1877	1
CCBE1	0	0	0	2152	2	0.000278749	64598	18	-Inf	1	1877	1
CCDC115	0	0	0	2152	1	0.0000310116	64598	2	-Inf	1	1877	1
CCDC39	0	0	0	2152	10	0.000542956	64598	35	-Inf	0.629605997875451	1181.77045801222	1
CCDC40	1	0.000464684	1	2152	13	0.000979008	64598	63	-1.07507067808632	0.7251612692587	1361.12770239858	1
CCDC47	0	0	0	2152	3	0.0000619674	64598	4	-Inf	1	1877	1
CCDC65	0	0	0	2152	2	0.000108419	64598	7	-Inf	1	1877	1
CCDC8	1	0.000464684	1	2152	3	0.000294356	64598	19	0.658687935728926	0.480823708850821	902.506101512991	1
CCDC88C	0	0	0	2152	1	0.0000154856	64598	1	-Inf	1	1877	1
CCN6	0	0	0	2152	6	0.0002169457	64598	14	-Inf	1	1877	1
CCNF	0	0	0	2152	1	0.0000464626	64598	3	-Inf	1	1877	1
CCNO	1	0.000464684	1	2152	5	0.0002478987	64598	16	0.906499264986743	0.427173431482454	801.804530892566	1
CD247	0	0	0	2152	2	0.0003252015	64598	21	-Inf	1	1877	1
CD27	0	0	0	2152	3	0.0000619583	64598	4	-Inf	1	1877	1
CD36	1	0.000464684	1	2152	12	0.0009156055	64598	59	-0.978476158295602	1	1877	1
CD3D	0	0	0	2152	2	0.0000619492	64598	4	-Inf	1	1877	1
CD3E	0	0	0	2152	2	0.0000929166	64598	6	-Inf	1	1877	1
CD3G	0	0	0	2152	2	0.0000933757	64598	6	-Inf	1	1877	1
CD4	0	0	0	2152	1	0.000030977	64598	2	-Inf	1	1877	1
CD55	0	0	0	2152	1	0.000046454	64598	3	-Inf	1	1877	1
CD8A	0	0	0	2152	1	0.0000154866	64598	1	-Inf	1	1877	1
CDAN1	0	0	0	2152	7	0.0004647704	64598	30	-Inf	1	1877	1
CDC14A	0	0	0	2152	3	0.0000464718	64598	3	-Inf	1	1877	1
CDC45	0	0	0	2152	2	0.000170369	64598	11	-Inf	1	1877	1
CDH11	0	0	0	2152	1	0.0000154904	64598	1	-Inf	1	1877	1
CDH23	1	0.000464684	1	2152	28	0.0008983498	64598	58	-0.951027341023095	1	1877	1
CDH3	1	0.000464684	1	2152	2	0.0000464583	64598	3	3.32224170163269	0.122857997716503	230.604461713877	1
CDHR1	0	0	0	2152	6	0.0001548821	64598	10	-Inf	1	1877	1
CDK10	0	0	0	2152	2	0.0000929305	64598	6	-Inf	1	1877	1
CDK5RAP2	1	0.000464684	1	2152	8	0.0003872232	64598	25	0.263084578332216	0.573526163447534	1076.50860879102	1
CDSN	0	0	0	2152	1	0.0000929368	64598	6	-Inf	1	1877	1
CDT1	0	0	0	2152	2	0.000201291	64598	13	-Inf	1	1877	1
CENPE	0	0	0	2152	2	0.000248079	64598	16	-Inf	1	1877	1
CENPF	0	0	0	2152	10	0.0004338302	64598	28	-Inf	1	1877	1
CENPJ	1	0.000464684	1	2152	13	0.0011305704	64598	73	-1.2827289547779	0.73467633675745	1378.98748409373	1
CEP104	1	0.000464684	1	2152	4	0.0002323314	64598	15	1.0000658207138	0.408085717019449	765.976890845506	1
CEP112	0	0	0	2152	3	0.0000774598	64598	5	-Inf	1	1877	1
CEP120	0	0	0	2152	2	0.0000774449	64598	5	-Inf	1	1877	1
CEP135	0	0	0	2152	6	0.0004181496	64598	27	-Inf	1	1877	1
CEP152	0	0	0	2152	6	0.0004183388	64598	27	-Inf	1	1877	1
CEP164	0	0	0	2152	5	0.0003772796	64598	24	-Inf	1	1877	1
CEP250	1	0.000464684	1	2152	3	0.0004645571	64598	30	0.00039403767617889	1	1877	1
CEP290	3	0.001394484	3	2152	67	0.0030548067	64598	197	-1.13134971174908	0.225500899485318	423.265188333941	1
CEP41	1	0.000464684	1	2152	3	0.0000464603	64598	3	3.32217959587384	0.122857997716503	230.604461713877	1
CEP55	0	0	0	2152	3	0.0003716636	64598	24	-Inf	1	1877	1
CEP57	0	0	0	2152	2	0.0000309755	64598	2	-Inf	1	1877	1
CEP63	0	0	0	2152	1	0.0000464698	64598	3	-Inf	1	1877	1
CEP78	1	0.000464684	1	2152	9	0.0001703759	64598	11	1.44752869282995	0.325162328663997	610.329690902322	1
CEP83	0	0	0	2152	5	0.0002323708	64598	15	-Inf	1	1877	1
CFAP251	0	0	0	2152	1	0.00171928	64598	111	-Inf	0.0537096652440004	100.813041662989	0.848662990765024
