Gene_panel	genes_in_panel	POL_SNP_cum_AF_sum	POL_SNP_cum_AC_sum	POL_SNP_cum_AN_sum_adjusted	POL_number_unique_variants_sum	gnomAD_NFE_SNP_cum_AF_sum	gnomAD_NFE_SNP_cum_AC_sum	gnomAD_NFE_SNP_cum_AN_sum_adjusted	gnomAD_NFE_number_unique_variants_sum	cum_AF_fold_change	fisher_p	fisher_p_corr	fisher_q
Hereditary ataxia and cerebellar anomalies - childhood onset	211	0.105026012	226	454072	226	0.1254711813	8105	13630178	8101	-0.256609351239343	0.00760020804626906	1.88485159547473	0.0402557533836938
Retinal disorders	135	0.056697945	122	290520	122	0.0721301847	4659	8720730	4655	-0.347306671984943	0.00771255088192263	1.91271261871681	0.0402557533836938
Colorectal cancer pertinent cancer susceptibility	2	0.003718336	8	4304	8	0.0088889847	574	129196	574	-1.25736150140898	0.00902475681189842	2.23813968935081	0.0439522662838934
Inherited polyposis	2	0.003718336	8	4304	8	0.0088889847	574	129196	574	-1.25736150140898	0.00902475681189842	2.23813968935081	0.0439522662838934
Mitochondrial disorders	156	0.029745432	64	335712	64	0.0410823597	2654	10077288	2651	-0.465850918910885	0.00903691456304351	2.24115481163479	0.0439522662838934
Cerebellar hypoplasia	33	0.005112392	11	71016	11	0.0106196182	686	2131734	686	-1.05466153247538	0.00982358330303654	2.43624865915306	0.0467165961522182
Additional findings health related	1	0.003718336	8	2152	8	0.0085482395	552	64598	552	-1.20097018682019	0.011262978819393	2.79321874720947	0.0478090553929061
Additional findings health related - adults	1	0.003718336	8	2152	8	0.0085482395	552	64598	552	-1.20097018682019	0.011262978819393	2.79321874720947	0.0478090553929061
Additional findings health related - adult specific	1	0.003718336	8	2152	8	0.0085482395	552	64598	552	-1.20097018682019	0.011262978819393	2.79321874720947	0.0478090553929061
Additional findings health related - CNV analysis adults	1	0.003718336	8	2152	8	0.0085482395	552	64598	552	-1.20097018682019	0.011262978819393	2.79321874720947	0.0478090553929061
Additional findings health related - CNV analysis adult specific	1	0.003718336	8	2152	8	0.0085482395	552	64598	552	-1.20097018682019	0.011262978819393	2.79321874720947	0.0478090553929061
Ataxia and cerebellar anomalies - narrow panel	100	0.029278559	63	215200	63	0.0401372734	2593	6459800	2591	-0.455098064671386	0.0113937468459729	2.82564921780129	0.0478090553929061
Ectodermal dysplasia	16	0.001858736	4	34432	4	0.0057614321	372	1033568	372	-1.63210558620875	0.0122642884105878	3.04154352582577	0.0504722638435727
Proteinuric renal disease	31	0.017660157	38	66712	38	0.0114989116	743	2002538	742	0.619000855669569	0.0144179076182264	3.57564108932015	0.0582157024584991
Primary immunodeficiency	190	0.06069468	131	408880	131	0.0486776838	3144	12273620	3142	0.318309544334233	0.015191963108842	3.76760685099282	0.0602051871350405
Skeletal dysplasia	221	0.082311544	177	475592	177	0.0988111801	6383	14276158	6379	-0.263579506952538	0.0157844665486434	3.91454770406358	0.0614159243892672
Diabetes with additional phenotypes suggestive of a monogenic aetiology	23	0.000464684	1	49496	1	0.0031462112	203	1485754	203	-2.75929364381803	0.0165709058769006	4.10958465747134	0.0633245331724415
Adult solid tumours for rare disease	3	0.005577072	12	6456	12	0.0107013052	691	193794	691	-0.940206966318257	0.0183104069478018	4.54098092305484	0.0687443348566593
Hereditary ataxia - adult onset	116	0.035783699	77	249632	77	0.0467749934	3022	7493368	3019	-0.386434921841809	0.0191446138987096	4.74786424687997	0.0706370236952387
Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome	13	0.00883681	19	27976	19	0.0049731457	321	839774	321	0.829366966215389	0.0201049355262769	4.98602401051668	0.07292298648514
Glycogen storage disease	23	0.019516722	42	49496	42	0.0278575872	1800	1485754	1799	-0.513359548411922	0.0206331828827505	5.11702935492212	0.0735916856151434
White matter disorders and cerebral calcification - narrow panel	108	0.057630784	124	232416	124	0.0464449306	3000	6976584	2998	0.311318509020743	0.0224342110211178	5.56368433323721	0.0787036255494952
Pancreatitis	1	0.014869842	32	2152	32	0.0221261638	1429	64598	1429	-0.573364022521435	0.0242361856948065	6.01057405231201	0.081659855642555
Peroxisomal disorders	17	0.006505574	14	36584	14	0.0117210277	757	1098166	757	-0.849350811259382	0.0242850948332035	6.02270351863447	0.081659855642555
Cytopenia - NOT Fanconi anaemia	16	0.006505574	14	34432	14	0.0118213003	764	1033568	763	-0.861640475862773	0.024656623814962	6.11484270611058	0.081659855642555
Non-CF bronchiectasis	2	0.014869842	32	4304	32	0.0221261638	1429	129196	1429	-0.573364022521435	0.0250336388632435	6.20834243808438	0.081659855642555
Thoracic dystrophies	20	0.005112386	11	43040	11	0.0098687309	638	1291960	637	-0.948867800709618	0.0254042810031974	6.30026168879295	0.081659855642555
Epidermodysplasia verruciformis	3	0.000929368	2	6456	2	0.0000929339	6	193794	6	3.32197311344724	0.0255664034021083	6.34046804372287	0.081659855642555
Distal myopathies	6	0.002788102	6	12912	6	0.0065104466	421	387588	421	-1.22347317021187	0.0277677060327617	6.8863910961249	0.0873866042795736
Multiple Epiphyseal Dysplasia	1	0.005112817	11	2152	11	0.0025259415	163	64598	163	1.0172971622734	0.0294623946008737	7.30667386101668	0.0901060636517928
Ectodermal dysplasia without a known gene mutation	12	0.001858736	4	25824	4	0.0051109767	330	775176	330	-1.45927713843332	0.0294739460543248	7.30953862147254	0.0901060636517928
Hereditary neuropathy NOT PMP22 copy number	36	0.016730362	36	77472	36	0.0114472844	739	2325528	739	0.547463268434984	0.0319011199537025	7.91147774851823	0.0961526714097513
Surfactant deficiency	2	0.00232342	5	4304	5	0.0056220968	363	129196	363	-1.27485832310471	0.037843912834897	9.38529038305446	0.110606111604574
Rare multisystem ciliopathy disorders	89	0.06877501	148	191528	148	0.0818657643	5288	5749222	5285	-0.251375808521557	0.0379127151114671	9.40235334764384	0.110606111604574
Holoprosencephaly	1	0.014869904	32	2152	32	0.0101287216	654	64598	654	0.553943238000895	0.0382469731716753	9.48524934657546	0.110606111604574
Congenital muscular dystrophy	26	0.005113259	11	55952	11	0.0094378993	610	1679548	610	-0.884222674196242	0.0398885950337186	9.89237156836222	0.113815457829544
Severe early-onset obesity	21	0.00371747	8	45192	8	0.007545253	487	1356558	487	-1.02124817682463	0.040813126878285	10.1216554658147	0.114282330143366
Familial pulmonary fibrosis	13	0.003717904	8	27976	8	0.0076048641	491	839774	491	-1.03243294810578	0.0411202776684073	10.197828861765	0.114282330143366
Hereditary neuropathy	84	0.051583824	111	180768	111	0.0423804826	2738	5426232	2736	0.28351871039379	0.0493520972836617	12.2393201263481	0.135401907932098
Primary ciliary disorders	32	0.005111956	11	68864	11	0.0092677774	599	2067136	598	-0.858347974285534	0.0500125316414148	12.4031078470709	0.135476984446364
Primary lymphoedema	5	0.003717476	8	10760	8	0.0073556058	475	322990	475	-0.984520736949536	0.0519167178803823	12.8753460343348	0.138783137023402
Mitochondrial DNA maintenance disorder	18	0.003717472	8	38736	8	0.0074179991	479	1162764	479	-0.996708216864547	0.0525300658826896	13.027456338907	0.138783137023402
Intestinal failure	10	0.003717468	8	21520	8	0.0016883436	109	645980	109	1.13871178236683	0.0577035585451086	14.3104825191869	0.150592213764064
Mitochondrial liver disease	6	0.002788102	6	12912	6	0.0059620144	385	387588	385	-1.09651651809498	0.0610229410714299	15.1336893857146	0.155588719082357
Hereditary spastic paraplegia - childhood onset	44	0.018728666	40	94688	40	0.0136167835	880	2842312	879	0.459862187208373	0.0610722074902708	15.1459074575872	0.155588719082357
Childhood solid tumours cancer susceptibility	33	0.033964	73	71016	73	0.0269903467	1744	2131734	1742	0.331562868806184	0.0623505023172879	15.4629245746874	0.15697655877529
Congenital hyperinsulinism	2	0.003717476	8	4304	8	0.0070768611	457	129196	457	-0.928786175023662	0.0652345334278941	16.1781642901177	0.162327792483364
Familial diabetes	24	0.000464684	1	51648	1	0.0024351665	157	1550352	157	-2.38969854134261	0.0682094591601109	16.9159458717075	0.167779589198434
Hypophosphataemia or rickets	7	0.000929368	2	15064	2	0.0031366967	203	452186	203	-1.75492415991733	0.0725490992616405	17.9921766168868	0.176426218658989
Thoracic aortic aneurysm or dissection	5	0.000932849	2	10760	2	0.0032704667	211	322990	211	-1.80978104848231	0.0755116972037528	18.7269009065307	0.181567451703406
Hereditary spastic paraplegia - adult onset	46	0.018728666	40	98992	40	0.0137871533	891	2971508	890	0.441923535975007	0.0767127896650953	19.0247718369436	0.182405966537004
Limb disorders	61	0.03070817	66	131272	66	0.0383101098	2475	3940478	2473	-0.319102620680319	0.0811884705000428	20.1347406840106	0.187233213644263
Genetic epilepsy syndromes	219	0.083646998	180	471288	180	0.0955760863	6174	14146962	6170	-0.192335928123266	0.081621518211663	20.2421365164924	0.187233213644263
Clefting	48	0.045563344	98	103296	98	0.0380025406	2455	3100704	2454	0.261777762797769	0.0820605260734634	20.3510104662189	0.187233213644263
Radial dysplasia	20	0.019086298	41	43040	41	0.0251102417	1622	1291960	1621	-0.39573861230574	0.0822426265540219	20.3961713853974	0.187233213644263
Growth failure in early childhood	22	0.023699322	51	47344	51	0.0184798091	1194	1421156	1193	0.358895932985516	0.0910155529394758	22.57185712899	0.201570542577677
Bardet Biedl syndrome	15	0.003252788	7	32280	7	0.0061812021	399	968970	399	-0.926210638039095	0.0912877826423452	22.6393700953016	0.201570542577677
Amelogenesis imperfecta	23	0.003252788	7	49496	7	0.0061973384	400	1485754	400	-0.929971949507876	0.0913660870562369	22.6587895899468	0.201570542577677
Tumour predisposition - childhood onset	35	0.033499316	72	75320	72	0.0272227728	1759	2260930	1757	0.299317617124868	0.0973797072463936	24.1501673971056	0.212645483170696
Hereditary spastic paraplegia	45	0.0205874	44	96840	44	0.0158010132	1021	2906910	1020	0.381744571770017	0.0985868489637059	24.4495385429991	0.213106926042758
Gastrointestinal neuromuscular disorders	6	0.002788104	6	12912	6	0.0055440987	358	387588	358	-0.991668564929654	0.100643646052668	24.9596242210616	0.213664096627034
Cerebral malformations	40	0.024164454	52	86080	52	0.0304619787	1968	2583920	1967	-0.334123259931699	0.101285147778139	25.1187166489784	0.213664096627034
Infantile nystagmus	6	0.0009298	2	12912	2	0.0030358894	196	387588	196	-1.70712690214948	0.101839896523166	25.2562943377451	0.213664096627034
Unexplained kidney failure in young people	48	0.025560215	55	103296	55	0.0204384131	1320	3100704	1319	0.32261678614722	0.108227150302621	26.8403332750499	0.224860292861756
Cytopenias and congenital anaemias	60	0.030205754	65	129120	65	0.0370691868	2395	3875880	2393	-0.295397066820335	0.109584720593384	27.1770107071592	0.225491636605617
Hereditary ataxia	83	0.026954703	58	178616	58	0.0334514141	2161	5361634	2159	-0.311530186221941	0.117564498937632	29.1559957365327	0.23960764545384
Ichthyosis and erythrokeratoderma	27	0.013475844	29	58104	29	0.0100890558	652	1744146	651	0.417584468743112	0.127986926205117	31.7407576988691	0.258309194323167
Laterality disorders and isomerism	23	0.004647704	10	49496	10	0.00762622	493	1485754	492	-0.714449960075856	0.129154597161583	32.0303400960727	0.258309194323167
Severe Paediatric Disorders	1402	0.582472322	1253	3017104	1253	0.608070074	39280	90566396	39254	-0.0620480922228306	0.1323748753975	32.82896909858	0.262298364213565
Vici Syndrome and other autophagy disorders	10	0.000464684	1	21520	1	0.001998305	129	645980	129	-2.10445492160834	0.135437483150681	33.5884958213688	0.265342439980922
Monogenic diabetes	12	0.000464684	1	25824	1	0.0020475177	132	775176	132	-2.13955404752259	0.136390973821969	33.8249615078483	0.265342439980922
Confirmed Fanconi anaemia or Bloom syndrome	17	0.022305266	48	36584	48	0.0178137031	1151	1098166	1150	0.324396898939383	0.139861860811928	34.6857414813581	0.268893749005118
Deafness and congenital structural abnormalities	16	0.012565142	27	34432	27	0.0093399881	603	1033568	603	0.427934358436918	0.14072943873165	34.9009008054493	0.268893749005118
Haematuria	2	0.002789403	6	4304	6	0.0014559813	94	129196	94	0.937964557009889	0.142389739379688	35.3126553661627	0.269658444488967
Hypogonadotropic hypogonadism idiopathic	10	0.00418215	9	21520	9	0.0070019048	452	645980	452	-0.743502638991318	0.145057487019142	35.9742567807473	0.272300896685057
Cystic renal disease	84	0.070633746	152	180768	152	0.0794600795	5133	5426232	5129	-0.169872626224453	0.160635961354332	39.8377184158742	0.298922571563713
Congenital myaesthenic syndrome	20	0.005111522	11	43040	11	0.0080015336	517	1291960	517	-0.646523608044839	0.173050119418449	42.9164296157753	0.316522047037867
Autosomal recessive congenital ichthyosis	13	0.012081792	26	27976	26	0.0092349855	597	839774	596	0.387652853355408	0.173051773380516	42.916839798368	0.316522047037867
COVID-19 research	292	0.119747658	258	628384	258	0.1100881066	7111	18862616	7108	0.121338824954596	0.176261505655023	43.7128534024457	0.319660696696398
Structural basal ganglia disorders	42	0.016263942	35	90384	35	0.0205785598	1329	2713116	1328	-0.339465042679844	0.191751080598074	47.5542679883223	0.344829674352838
Renal superpanel - broad	366	0.239327099	515	787632	515	0.2535910299	16381	23642868	16370	-0.083519952486324	0.198712159114453	49.2806154603844	0.354370017087441
Paediatric motor neuronopathies	9	0.002788104	6	19368	6	0.0048474407	313	581382	313	-0.797938872916825	0.204757485513534	50.7798564073564	0.360338593424232
Renal superpanel - narrow	189	0.129190883	278	406728	278	0.1398063018	9031	12209022	9025	-0.113925129335438	0.206801156941256	51.2866869214315	0.360338593424232
Unexplained paediatric onset end-stage renal disease	125	0.084111317	181	269000	181	0.0928352194	5997	8074750	5993	-0.142372307121179	0.207110499958788	51.3634039897794	0.360338593424232
Groopman et al 2019 - Genes with diagnostic variants	7	0.023702377	51	15064	51	0.019889144	1285	452186	1284	0.253050561485199	0.214290182635027	53.1439652934866	0.369823379708836
Pain syndromes	7	0.001395786	3	15064	3	0.0007465768	48	452186	48	0.902715184013864	0.226562226966761	56.1874322877568	0.387874532567095
Primary ovarian insufficiency	20	0.009293682	20	43040	20	0.0123425187	797	1291960	797	-0.409314644483209	0.2343961411685	58.130243009788	0.398101382619516
Intracerebral calcification disorders	14	0.00604089	13	30128	13	0.0043989874	284	904372	284	0.457589647488203	0.247984591262161	61.5001786330159	0.417863799449625
Renal ciliopathies	69	0.063663056	137	148488	137	0.0704540055	4551	4457262	4548	-0.146225318040414	0.263812638700038	65.4255343976095	0.441061755326627
Severe microcephaly	67	0.048817461	105	144184	105	0.0436877125	2822	4328066	2820	0.160169694515545	0.271277165691392	67.2767370914652	0.450025685720604
Albinism or congenital nystagmus	15	0.003253652	7	32280	7	0.0051120299	330	968970	330	-0.651836321250309	0.280476989851405	69.5582934831484	0.461708275601543
Congenital disorders of glycosylation	71	0.020913821	45	152792	45	0.0248090027	1603	4586458	1602	-0.246407071838784	0.294825381963468	73.1166947269401	0.478481782609436
Ocular and oculo-cutaneous albinism	10	0.002324284	5	21520	5	0.0040741557	263	645980	263	-0.809714756347921	0.295138295815166	73.1942973621613	0.478481782609436
Brain channelopathy	4	0.00697026	15	8608	15	0.0054358486	351	258392	351	0.358707197022816	0.301630990399141	74.804485618987	0.485331067258769
Neurological ciliopathies	40	0.054833632	118	86080	118	0.0605249052	3910	2583920	3908	-0.14246787834758	0.304654919964182	75.5544201511172	0.486538454271156
Ocular coloboma	11	0.002788104	6	23672	6	0.0044625088	288	710578	288	-0.678570637457011	0.320400992415261	79.4594461189847	0.507894906495303
Cholestasis	28	0.02416443	52	60256	52	0.0211436114	1366	1808744	1365	0.192663149376894	0.328212932782882	81.3968073301547	0.516452703055417
Tubulointerstitial kidney disease	11	0.00325322	7	23672	7	0.0048700891	315	710578	314	-0.582079778791798	0.344692892884436	85.4838374353401	0.538425394724593
Haematological malignancies cancer susceptibility	37	0.027881474	60	79624	60	0.0317155171	2049	2390126	2047	-0.185882030857213	0.354800135448254	87.9904335911669	0.55019731149222
Familial Tumours Syndromes of the central & peripheral Nervous system	4	0.000464684	1	8608	1	0.001414295	91	258392	91	-1.60576119940449	0.375512768833207	93.1271666706353	0.578127572160477
Corneal dystrophies	7	0.001394052	3	15064	3	0.0027140904	175	452186	175	-0.961184397692442	0.389632740058829	96.6289195345896	0.594218788873333
Inherited white matter disorders	101	0.04600587	99	217352	99	0.0420919741	2719	6524398	2717	0.12827277665917	0.393024845997242	97.470161807316	0.594218788873333
Vascular skin disorders	4	0.00371747	8	8608	8	0.0026950158	174	258392	174	0.464027368715272	0.394294710373894	97.7850881727257	0.594218788873333
Ehlers Danlos syndromes	20	0.005578381	12	43040	12	0.0042883844	277	1291960	277	0.379412241767894	0.400850068118473	99.4108168933814	0.59987352851296
Cystic kidney disease	15	0.00697069	15	32280	15	0.009006074	582	968970	581	-0.369596862263134	0.415419816342068	103.024114452833	0.617360004841685
ClinGen Gene Validity Curations	17	0.010223911	22	36584	22	0.0124611585	805	1098166	804	-0.285491017673808	0.429820610663997	106.595511444671	0.629275241903112
Palmoplantar keratodermas	34	0.014405212	31	73168	31	0.0124106766	802	2196332	801	0.215009122797912	0.431184510596793	106.933758628005	0.629275241903112
Mitochondrial disorder with complex IV deficiency	17	0.00418216	9	36584	9	0.0031596226	204	1098166	204	0.404496010742631	0.432259161494194	107.20027205056	0.629275241903112
Familial hypercholesterolaemia	5	0.00418216	9	10760	9	0.0032212876	208	322990	208	0.37661078541229	0.436973806049543	108.369503900287	0.631746143623642
Osteogenesis imperfecta	24	0.005578373	12	51648	12	0.0073757217	476	1550352	476	-0.40293981723218	0.439860632709919	109.08543691206	0.631746143623642
Familial rhabdomyosarcoma	6	0.000929368	2	12912	2	0.0019409469	125	387588	125	-1.06243877371742	0.447134467368034	110.889347907272	0.637911840111728
Paediatric disorders - additional genes	6	0.000929368	2	12912	2	0.0020453503	132	387588	132	-1.13802607372822	0.454878559251104	112.809882694274	0.642815040326449
Cataracts	59	0.039506414	85	126968	85	0.0365343273	2360	3811282	2359	0.112834255224236	0.456732363268421	113.269626090569	0.642815040326449
